"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Αγγίδια","1","POINT (25.402157523747821 37.096115272635878)","0","Aggidia","                      624455.650","                     4106166.130","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/Aggidia.htm"
"Άγιος Θαλέλαιος","2","POINT (25.421088953100089 37.097512403517271)","1","Agios Thaleleos","                      626135.800","                     4106346.140","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/ag_thalelaios.htm"
"Αγερσανί","3","POINT (25.39208388795554 37.062160907834077)","2","Agersani","                      623615.580","                     4102385.920","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/agersani.htm"
"Ακαδήμοι","4","POINT (25.485912672831507 37.063185962691378)","3","Akadimi","                      631956.280","                     4102625.940","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/akadhmoi.htm"
"Απείρανθος","5","POINT (25.520485153295457 37.070860224990923)","4","Apeiranthos","                      635016.540","                     4103525.980","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/apeiranthos.htm"
"Απόλλωνας","6","POINT (25.552420039034331 37.180450668703344)","5","Apollonas","                      637656.760","                     4115730.640","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/apolonas.htm"
"Δαμαλάς","7","POINT (25.470164459199928 37.051483693760701)","6","Damalas","                      630576.170","                     4101305.860","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/damalas.htm"
"Δαμαριώνας","8","POINT (25.479634371926643 37.052663977773371)","7","Damarionas","                      631416.240","                     4101449.870","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/damarionas.htm"
"Δανακός","9","POINT (25.525428606205125 37.048081758018355)","8","Danakos","                      635496.580","                     4101005.850","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/danakos.htm"
"Εγγαρές","10","POINT (25.436317713414581 37.117339841310233)","9","Eggares","                      627455.910","                     4108566.260","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/eggares.htm"
"Φιλότι","11","POINT (25.498523959107835 37.052426846035686)","10","Filoti","                      633096.380","                     4101449.870","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/filoti.htm"
"Γαλήνη","12","POINT (25.426199492890298 37.11800281106801)","11","Galini","                      626555.830","                     4108626.260","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/galhnh.htm"
"Γαλανάδο","13","POINT (25.410552229794902 37.07546373347472)","12","Galanado","                      625235.720","                     4103886.000","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/galanado.htm"
"Γλινάδο","14","POINT (25.402497288824748 37.070583523298453)","13","Glinado","                      624527.660","                     4103333.970","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/glinado.htm"
"Καλόξυλος","15","POINT (25.488674967589958 37.066396257002985)","14","Kaloxilos","                      632196.300","                     4102985.950","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/kaloxylos.htm"
"Κεραμί","16","POINT (25.488558732905631 37.060448565579087)","15","Kerami","                      632196.300","                     4102325.920","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/kerami.htm"
"Κεραμοτή","17","POINT (25.515851417600409 37.109318637099129)","16","Keramoti","                      634536.500","                     4107786.210","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/keramoth.htm"
"Κωμιακή","18","POINT (25.528732151265089 37.145388757842369)","17","Komiaki","                      635616.590","                     4111806.430","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/komiaki.htm"
"Κόρωνος","19","POINT (25.536286323991721 37.118033400795085)","18","Koronos","                      636336.650","                     4108782.270","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/koronos.htm"
"Κουρουνοχώρι","20","POINT (25.443978819725356 37.09399082373087)","19","Kourounohori","                      628175.970","                     4105986.120","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/korounoxori.htm"
"Κυνίδαρος","21","POINT (25.480576211415965 37.10111111542448)","20","Kinidaros","                      631416.240","                     4106826.160","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/kynidaros.htm"
"Μέλανες","22","POINT (25.437147016246076 37.089747089219166)","21","Melanes","                      627575.920","                     4105506.090","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/melanes.htm"
"Μέση","23","POINT (25.553103069807637 37.147776032320898)","22","Mesi","                      637776.770","                     4112106.450","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/mesi.htm"
"Μονή","24","POINT (25.497744532346889 37.081425532486968)","23","Moni","                      632976.370","                     4104666.050","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/moni.htm"
"Μονοίτσια","25","POINT (25.482644359431482 37.068635208548201)","24","Monoitsia","                      631656.260","                     4103225.970","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/monoitsia.htm"
"Μύλοι","26","POINT (25.443876217674941 37.088583634169318)","25","Miloi","                      628175.970","                     4105386.080","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/myloi.htm"
"Ποταμιά","27","POINT (25.442926205197708 37.0669616636496)","26","Potamia","                      628127.960","                     4102985.950","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/potamia.htm"
"Σαγκρί","28","POINT (25.434859658894556 37.040017500639905)","27","Sagkri","                      627455.910","                     4099985.790","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/sagkri.htm"
"Σκαδό","29","POINT (25.537805166097026 37.126342460028717)","28","Skado","                      636456.660","                     4109706.320","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/skado.htm"
"Τραγαία Χαλκί","30","POINT (25.482539109080605 37.063228179285232)","29","Tragaia-Xalki","                      631656.260","                     4102625.940","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/tragaia.htm"
"Τσικαλαριό","31","POINT (25.471764371702335 37.064443987652702)","30","Tsikalario","                      630696.180","                     4102745.940","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/tsikalario_xeimaros.htm"
"Βουρβουριά","32","POINT (25.478385818906279 37.057871579008804)","31","Vourvouria","                      631296.230","                     4102025.900","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/vourvouria.htm"
"Βίβλος-Τρίποδες","33","POINT (25.406078611866267 37.059832489339399)","32","Vivlos-Tripodes","                      624863.690","                     4102145.910","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/vivlos.htm"
"Χείμαρος","34","POINT (25.471712137936205 37.061740503532768)","33","Xeimaros","                      630696.180","                     4102445.930","1","http://www.naxos.gov.gr/zoomify_naxos/xoria/pages/tsikalario_xeimaros.htm"
"Άγιος Γεώργιος","35","POINT (25.374502204520034 37.09762887136656)","34","Agios Georgios","                      621995.450","                     4106298.130","2","http://www.naxos.gov.gr/zoomify_naxos/paralies/pages/agios_georgios.htm"
